,bidNtceNo,bidNtceOrd,lmtSno,prtcptPsblRgnNm,rgstDt,d2bMngDmndYear,d2bMngDcsnNo,d2bMngCnstwkNo,bsnsDivNm
0,20240919115,00,1,인천광역시,2024-09-24 10:22:13,,,,공사
1,20241022575,00,1,인천광역시,2024-10-22 13:49:44,,,,공사
2,20241101948,00,1,인천광역시 중구,2024-11-04 10:40:38,,,,공사
3,20241101948,00,2,인천광역시 동구,2024-11-04 10:40:38,,,,공사
4,20241101948,00,3,인천광역시 미추홀구,2024-11-04 10:40:38,,,,공사
5,20241101948,00,4,인천광역시 연수구,2024-11-04 10:40:38,,,,공사
6,20241101948,00,5,인천광역시 남동구,2024-11-04 10:40:38,,,,공사
7,20241101948,00,6,인천광역시 부평구,2024-11-04 10:40:38,,,,공사
8,20241101948,00,7,인천광역시 계양구,2024-11-04 10:40:38,,,,공사
9,20241101948,00,8,인천광역시 서구,2024-11-04 10:40:38,,,,공사
10,20241120682,00,1,인천광역시,2024-11-15 14:49:59,,,,공사
11,20241124441,00,1,인천광역시,2024-11-18 18:32:17,,,,공사
12,20241126189,00,1,인천광역시,2024-11-19 15:43:03,,,,공사
13,20241126216,00,1,인천광역시,2024-11-19 15:47:52,,,,공사
14,20241133061,00,1,인천광역시,2024-11-22 16:34:56,,,,공사
